"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","Arsenal Tour 2013 - Day 11 - The Bullet Train #Arsenal #ArsenalFC - https://t.co/WM0r08jiRD https://t.co/2UEjYoUqK8",FALSE,0,NA,2017-11-16 18:45:22,FALSE,NA,"931231739044859904",NA,"<a href=""https://comeonengland.co.uk"" rel=""nofollow"">Come-On-England</a>","ComeOnEngland21",0,FALSE,FALSE,NA,NA,"England","en","http://pbs.twimg.com/profile_images/611347413324988417/m26LTRnZ_normal.jpg"
"2","Arsenal Tour 2013 - Day 11 - The Bullet Train #Arsenal #ArsenalFC - https://t.co/wid3bn5gt0 https://t.co/W59pBzpSVI",FALSE,0,NA,2017-11-16 18:45:20,FALSE,NA,"931231729414803458",NA,"<a href=""http://comeonengland.co.uk"" rel=""nofollow"">footballvlogrz</a>","footballvlogr",0,FALSE,FALSE,NA,NA,"England, United Kingdom","en","http://pbs.twimg.com/profile_images/712677887648919552/itXv4AOQ_normal.jpg"
"3","About next week....

#watchwithus #spurs #chelsea #manutd #arsenal #sportbar #birminghamUK #ChampionsLeague… https://t.co/MtPpCXhpEm",FALSE,0,NA,2017-11-16 18:45:10,TRUE,NA,"931231689719808001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TexanRoadhouse",0,FALSE,FALSE,NA,NA,"Birmingham, England","en","http://pbs.twimg.com/profile_images/900646441156304896/nvQpQ945_normal.jpg"
"4","Shkodran Mustafi &amp; Danny Welbeck will have fitness tests ahead of #Arsenal's game against #Tottenham.... https://t.co/VkCEjX2S6l",FALSE,1,NA,2017-11-16 18:45:07,FALSE,NA,"931231676209827840",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","seancardo",0,FALSE,FALSE,NA,NA,"Kenya","en","http://pbs.twimg.com/profile_images/721329519718756352/zUHqLUV4_normal.jpg"
"5","Shkodran Mustafi &amp; Danny Welbeck will have fitness tests ahead of #Arsenal's game against #Tottenham.… https://t.co/Ms6d7rNxYz",FALSE,0,NA,2017-11-16 18:45:00,TRUE,NA,"931231646962958336",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","seancardo",0,FALSE,FALSE,NA,NA,"Kenya","en","http://pbs.twimg.com/profile_images/721329519718756352/zUHqLUV4_normal.jpg"
"6","RT @ArsenalFCAddict: #Transfer Rumour: #Arsenal set to reignite interest in #ManchesterCity forward Raheem Sterling | The Hard Tackle https…",FALSE,0,NA,2017-11-16 18:44:46,FALSE,NA,"931231588511354880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","philipbryant180",1,TRUE,FALSE,NA,NA,"somerset england!","en","http://pbs.twimg.com/profile_images/905871831374159873/8XkKmVDJ_normal.jpg"
"7","RT @Stuart_PhotoAFC: Thierry Henry's goal v spurs from 16th November 2002. #TH14 #arsenal #afc https://t.co/6N4RmYyxD4",FALSE,0,NA,2017-11-16 18:44:32,FALSE,NA,"931231526712377346",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Xxz911Hamad",151,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/809443950369050625/tvow3jkp_normal.jpg"
"8","New: Pleguezuelo hoping for last chance to make the breakthrough at Arsenal https://t.co/g1gS6ZY8An #arsenal #afc https://t.co/bPFmtlUibH",FALSE,2,NA,2017-11-16 18:44:00,FALSE,NA,"931231394273091584",NA,"<a href=""http://news.arseblog.com"" rel=""nofollow"">Arseblog News2</a>","arseblognews",0,FALSE,FALSE,NA,NA,"Dublin :: London","en","http://pbs.twimg.com/profile_images/905117201614680064/mWjKI7wX_normal.jpg"
"9","#Arsenal vs Tottenham | Teams, streams and predictions https://t.co/XeyeSivHr3",FALSE,0,NA,2017-11-16 18:43:49,FALSE,NA,"931231348500652037",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Antondub",0,FALSE,FALSE,NA,NA,"Dalkey,Dublin,Ireland.","en","http://pbs.twimg.com/profile_images/2232733563/gero_normal.jpg"
"10","#Transfer Rumour: #Arsenal set to reignite interest in #ManchesterCity forward Raheem Sterling | The Hard Tackle https://t.co/8czSs5PMBO",FALSE,0,NA,2017-11-16 18:42:04,FALSE,NA,"931230907125690369",NA,"<a href=""http://www.arsenal-addict.com/"" rel=""nofollow"">Arsenal Addict</a>","ArsenalFCAddict",1,FALSE,FALSE,NA,NA,"London, England","en-gb","http://pbs.twimg.com/profile_images/859483125709189122/dXexuEgZ_normal.jpg"
